Datum,Makkink (mm),G_lower,G_center,G_upper,H_lower,H_center,H_upper,Hplus_lower,Hplus_center,Hplus_upper,L_lower,L_center,L_upper
5/22/1906,1.423,1.3138,1.2698,1.2186,1.3138,1.2698,1.2186,1.3138,1.2698,1.2186,1.3138,1.2698,1.2186
5/23/1906,3.256,0,0,0,0,0,0,0,0,0,0,0,0
5/24/1906,1.762,10.4914,10.5786,10.6559,10.4914,10.5786,10.6559,10.4914,10.5786,10.6559,10.4914,10.5786,10.6559
5/25/1906,2.984,0.5913,0.5811,0.5639,0.5913,0.5811,0.5639,0.5913,0.5811,0.5639,0.5913,0.5811,0.5639
5/26/1906,2.666,1.7895,1.7721,1.7546,1.7895,1.7721,1.7546,1.7895,1.7721,1.7546,1.7895,1.7721,1.7546
5/27/1906,1.389,6.1118,6.0343,5.9566,6.1118,6.0343,5.9566,6.1118,6.0343,5.9566,6.1118,6.0343,5.9566
5/28/1906,2.476,0.3644,0.3524,0.3384,0.3644,0.3524,0.3384,0.3644,0.3524,0.3384,0.3644,0.3524,0.3384
5/29/1906,2.342,0,0,0,0,0,0,0,0,0,0,0,0
5/30/1906,1.694,0,0,0,0,0,0,0,0,0,0,0,0
5/31/1906,1.417,0,0,0,0,0,0,0,0,0,0,0,0
6/1/1906,2.274,3.3795,3.3175,3.2556,3.3795,3.3175,3.2556,3.3795,3.3175,3.2556,3.3795,3.3175,3.2556
6/2/1906,2.328,1.4803,1.4523,1.4243,1.4803,1.4523,1.4243,1.4803,1.4523,1.4243,1.4803,1.4523,1.4243
6/3/1906,1.787,0.9577,0.8898,0.823,0.9577,0.8898,0.823,0.9577,0.8898,0.823,0.9577,0.8898,0.823
6/4/1906,1.34,0.8431,0.781,0.7278,0.8431,0.781,0.7278,0.8431,0.781,0.7278,0.8431,0.781,0.7278
6/5/1906,2.853,0,0,0,0,0,0,0,0,0,0,0,0
6/6/1906,4.559,0,0,0,0,0,0,0,0,0,0,0,0
6/7/1906,4.775,0,0,0,0,0,0,0,0,0,0,0,0
6/8/1906,4.78,0,0,0,0,0,0,0,0,0,0,0,0
6/9/1906,4.114,0,0,0,0,0,0,0,0,0,0,0,0
6/10/1906,1.571,0,0,0,0,0,0,0,0,0,0,0,0
6/11/1906,3.377,0,0,0,0,0,0,0,0,0,0,0,0
6/12/1906,4.007,0,0,0,0,0,0,0,0,0,0,0,0
6/13/1906,1.452,0,0,0,0,0,0,0,0,0,0,0,0
6/14/1906,1.656,0,0,0,0,0,0,0,0,0,0,0,0
6/15/1906,1.416,8.1432,8.1335,8.1238,8.1432,8.1335,8.1238,8.1432,8.1335,8.1238,8.1432,8.1335,8.1238
6/16/1906,2.654,0.2115,0.2112,0.211,0.2115,0.2112,0.211,0.2115,0.2112,0.211,0.2115,0.2112,0.211
6/17/1906,3.952,0.8247,0.7644,0.7141,0.8247,0.7644,0.7141,0.8247,0.7644,0.7141,0.8247,0.7644,0.7141
6/18/1906,1.73,6.0087,5.8991,5.8095,6.0087,5.8991,5.8095,6.0087,5.8991,5.8095,6.0087,5.8991,5.8095
6/19/1906,3.166,0,0,0,0,0,0,0,0,0,0,0,0
6/20/1906,4.906,0,0,0,0,0,0,0,0,0,0,0,0
6/21/1906,3.153,0,0,0,0,0,0,0,0,0,0,0,0
6/22/1906,2.807,6.8507,6.8007,6.7407,6.8507,6.8007,6.7407,6.8507,6.8007,6.7407,6.8507,6.8007,6.7407
6/23/1906,1.667,0,0,0,0,0,0,0,0,0,0,0,0
6/24/1906,3.238,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008,0.1008
6/25/1906,3.147,0,0,0,0,0,0,0,0,0,0,0,0
6/26/1906,3.728,0,0,0,0,0,0,0,0,0,0,0,0
6/27/1906,5.164,0,0,0,0,0,0,0,0,0,0,0,0
